dx,layer1_top1,layer1_top3,layer1_success_rate,layer2_top1,layer2_top3,layer2_success_rate
akiec,0.06,0.34,1.0,0.22,0.61,1.0
bcc,0.53,0.85,1.0,0.12,0.54,1.0
bkl,0.16,0.68,1.0,0.08,0.27,1.0
df,0.0,0.29,0.97,0.07,0.35,1.0
mel,0.22,0.98,1.0,0.17,0.7,1.0
nv,0.81,0.89,1.0,0.61,0.79,1.0
vasc,0.02,0.36,1.0,0.59,0.84,1.0
