"experiment","item","top1","top3","macro_f1","success_rate","failure_rate","avg_latency_ms","route_correct_rate","json_valid_rate","schema_pass_rate","label_in_set_rate","top3_complete_rate","skipped_reason","reference_csv","model_params","model_size_mb","inference_ms_per_image","train_seconds","best_epoch","best_macro_f1","fusion_top1","fusion_top3","fusion_macro_f1","metrics_path"
"exp4_prompt_json","normalized_prompt + no_json_constraint","0.9182","0.9182","0.936","0.9273","0.0727","4408.29","","0.9273","0.9273","0.9273","0.9273","","","","","","","","","","","",""
"exp4_prompt_json","normalized_prompt + json_constraint","0.9182","0.9182","0.936","0.9273","0.0727","4068.61","","0.9273","0.9273","0.9273","0.9273","","","","","","","","","","","",""
"exp5_robustness","A_api_normal","0.9636","0.9909","0.9633","1.0","0.0","3833.19","0.9273","","","","","","","","","","","","","","","",""
"exp5_robustness","B_api_fail_to_local_hybrid","0.7182","0.9727","0.7118","1.0","0.0","29.51","1.0","","","","","","","","","","","","","","","",""
"exp5_robustness","C_api_and_local_hybrid_fail_to_local_mock","0.5","0.5","0.4175","1.0","0.0","0.63","1.0","","","","","","","","","","","","","","","",""
"exp6_ablation","baseline_full","0.9727","0.9909","0.9725","1.0","0.0","3996.77","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_text_input","0.3091","0.4364","0.2498","1.0","0.0","4132.21","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_prompt_template","0.7182","0.9727","0.7118","1.0","0.0","1444.48","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_json_constraint","0.9727","0.9909","0.9725","1.0","0.0","4231.74","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_second_layer_fallback","0.5","0.5","0.4175","1.0","0.0","0.04","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_third_layer_fallback","0.0","0.0","0.0","0.0","1.0","0.55","","","","","","","","","","","","","","","","",""
"exp7_external_generalization","layer1_api","0.2571","0.6271","0.0512","0.9957","0.0043","5943.72","","","0.9957","","","","","","","","","","","","","",""
"exp7_external_generalization","layer2_local_hybrid","0.2657","0.5857","0.075","1.0","0","17.32","","","1.0","","","","","","","","","","","","","",""
